,precision,recall,f1-score,support
3,1.0,1.0,1.0,1.0
5,0.0,0.0,0.0,1.0
8,0.0,0.0,0.0,1.0
9,1.0,0.5,0.6666666666666666,6.0
10,0.9444444444444444,0.9444444444444444,0.9444444444444444,18.0
11,0.0,0.0,0.0,1.0
13,0.8,1.0,0.888888888888889,8.0
14,1.0,1.0,1.0,4.0
16,1.0,1.0,1.0,2.0
17,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
18,0.0,0.0,0.0,1.0
22,0.5,0.5,0.5,2.0
25,1.0,1.0,1.0,4.0
27,1.0,1.0,1.0,3.0
28,1.0,1.0,1.0,17.0
29,1.0,1.0,1.0,3.0
32,1.0,0.5,0.6666666666666666,2.0
40,1.0,0.6666666666666666,0.8,3.0
42,0.3333333333333333,1.0,0.5,1.0
43,0.0,0.0,0.0,1.0
44,0.0,0.0,0.0,0.0
47,0.6,0.3,0.4,10.0
50,0.7727272727272727,0.85,0.8095238095238095,20.0
51,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0
58,1.0,0.5,0.6666666666666666,2.0
59,0.0,0.0,0.0,0.0
60,1.0,1.0,1.0,1.0
61,0.9333333333333333,1.0,0.9655172413793104,14.0
62,0.0,0.0,0.0,3.0
64,1.0,0.4,0.5714285714285715,5.0
66,1.0,1.0,1.0,5.0
68,0.9166666666666666,1.0,0.9565217391304348,22.0
69,1.0,1.0,1.0,1.0
73,0.8148148148148148,0.9777777777777777,0.8888888888888888,45.0
74,0.0,0.0,0.0,2.0
76,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,1.0
85,0.0,0.0,0.0,0.0
87,1.0,1.0,1.0,1.0
89,0.0,0.0,0.0,2.0
90,0.0,0.0,0.0,0.0
96,0.5,1.0,0.6666666666666666,2.0
97,0.0,0.0,0.0,6.0
99,1.0,1.0,1.0,45.0
101,0.0,0.0,0.0,0.0
103,0.5,1.0,0.6666666666666666,3.0
104,1.0,1.0,1.0,1.0
106,0.0,0.0,0.0,7.0
108,0.0,0.0,0.0,6.0
109,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0
111,0.0,0.0,0.0,7.0
112,0.2,0.2,0.20000000000000004,5.0
117,0.2,1.0,0.33333333333333337,1.0
118,1.0,0.5,0.6666666666666666,2.0
120,0.5,0.2,0.28571428571428575,5.0
123,0.9230769230769231,0.7058823529411765,0.8000000000000002,17.0
125,1.0,1.0,1.0,1.0
126,0.9629629629629629,0.9629629629629629,0.9629629629629629,27.0
131,0.0,0.0,0.0,0.0
132,1.0,0.14285714285714285,0.25,7.0
134,0.0,0.0,0.0,2.0
135,1.0,0.8,0.888888888888889,5.0
136,1.0,1.0,1.0,2.0
138,0.25,0.75,0.375,4.0
141,0.8888888888888888,1.0,0.9411764705882353,8.0
146,1.0,1.0,1.0,2.0
147,1.0,1.0,1.0,1.0
148,0.75,1.0,0.8571428571428571,15.0
149,1.0,1.0,1.0,1.0
151,0.0,0.0,0.0,0.0
152,0.0,0.0,0.0,0.0
155,1.0,0.5,0.6666666666666666,2.0
156,0.0,0.0,0.0,1.0
158,0.625,1.0,0.7692307692307693,10.0
160,0.92,0.8518518518518519,0.8846153846153846,27.0
166,1.0,0.25,0.4,4.0
167,1.0,1.0,1.0,2.0
169,0.0,0.0,0.0,0.0
accuracy,0.7837837837837838,0.7837837837837838,0.7837837837837838,0.7837837837837838
macro avg,0.5305111622794549,0.5081598764166914,0.4939830715792,444.0
weighted avg,0.7915119315119316,0.7837837837837838,0.7678061787628327,444.0
